2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\config, Расширение: , Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\description, Расширение: , Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\HEAD, Расширение: , Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\applypatch-msg, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\commit-msg, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\fsmonitor-watchman, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\post-update, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\pre-applypatch, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\pre-commit, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\pre-merge-commit, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\pre-push, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\pre-rebase, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\pre-receive, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\prepare-commit-msg, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\push-to-checkout, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\sendemail-validate, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\hooks\update, Расширение: .sample, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\hooks
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\info, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\info\exclude, Расширение: , Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\info
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\objects, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\.git\objects\info, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving\.git\objects
